team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
Emporia State,Wichita State,57,73,Wichita State,5,8,52,65,Wichita State
Newman,Wichita State,43,81,Wichita State,3,8,40,73,Wichita State
Wichita State,Ole Miss,83,79,Wichita State,9,9,74,70,Wichita State
High Point,Davidson,73,82,Davidson,9,11,64,71,Davidson
Texas,Davidson,78,76,Texas,8,5,70,71,Davidson
Davidson,Providence,62,63,Providence,8,2,54,61,Providence
Davidson,UNLV,77,73,Davidson,8,11,69,62,Davidson
Georgia Southern,Davidson,45,77,Davidson,2,17,43,60,Davidson
Charlotte,Davidson,63,52,Charlotte,2,9,61,43,Charlotte
Davidson,Rhode Island,67,58,Davidson,10,7,57,51,Davidson
Vanderbilt,Davidson,65,85,Davidson,11,10,54,75,Davidson
Richmond,Davidson,80,74,Richmond,8,7,72,67,Richmond
Davidson,Duquesne,61,48,Davidson,9,6,52,42,Davidson
Dayton,Davidson,89,78,Dayton,11,7,78,71,Dayton
Saint Joseph's,Davidson,66,80,Davidson,9,14,57,66,Davidson
Davidson,La Salle,77,53,Davidson,7,6,70,47,Davidson
Fordham,Davidson,58,73,Davidson,10,10,48,63,Davidson
Davidson,UMass,69,60,Davidson,5,8,64,52,Davidson
Southern Virginia,Davidson,51,101,Davidson,9,18,42,83,Davidson
